timestamp,task_group,dataset,model_name,method,quant_type,double_quant,lora_r,lora_alpha,lora_dropout,learning_rate,batch_size,gradient_accumulation_steps,max_train_samples,max_eval_samples,seed,metric_name,metric_value,gpu_memory_peak_mb
2026-06-01T18:39:06.988913+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,bf16,none,False,,,,0.0002,8,4,,,42,matthews_correlation,0.0,3430.00
2026-06-01T18:39:06.989143+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,bf16,none,False,,,,0.0002,8,4,,,42,glue_score,0.0,3430.00
2026-06-01T18:45:19.474803+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,lora_bf16,none,False,8,16,0.0,0.0002,8,4,,,42,matthews_correlation,0.6454933691830679,1000.95
2026-06-01T18:45:19.474972+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,lora_bf16,none,False,8,16,0.0,0.0002,8,4,,,42,glue_score,0.6454933691830679,1000.95
2026-06-01T19:19:15.098244+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,qlora_int8,int8,False,8,16,0.0,0.0002,8,4,,,42,matthews_correlation,0.6504804707344525,1288.75
2026-06-01T19:19:15.098433+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,qlora_int8,int8,False,8,16,0.0,0.0002,8,4,,,42,glue_score,0.6504804707344525,1288.75
2026-06-01T19:36:06.631445+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,qlora_fp4,fp4,False,8,16,0.0,0.0002,8,4,,,42,matthews_correlation,0.6405928483307023,977.54
2026-06-01T19:36:06.631616+00:00,roberta_glue,glue/cola,FacebookAI/roberta-large,qlora_fp4,fp4,False,8,16,0.0,0.0002,8,4,,,42,glue_score,0.6405928483307023,977.54
2026-06-01T20:12:27.435590+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16,none,False,,,,0.0004,8,4,,,42,accuracy,0.5091743119266054,3428.27
2026-06-01T20:12:27.435762+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16,none,False,,,,0.0004,8,4,,,42,glue_score,0.5091743119266054,3428.27
2026-06-01T20:39:02.692546+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,lora_bf16,none,False,8,16,0.0,0.0004,8,4,,,42,accuracy,0.9598623853211009,1380.57
2026-06-01T20:39:02.692718+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,lora_bf16,none,False,8,16,0.0,0.0004,8,4,,,42,glue_score,0.9598623853211009,1380.57
2026-06-01T22:53:01.709224+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,qlora_int8,int8,False,8,16,0.0,0.0004,8,4,,,42,accuracy,0.9564220183486238,1289.88
